student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0414,0,0,1,0.27,,0.83,0.5,0.87,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0437,1,0,1,0.36,0.91,1,1,1,1,0,1153195.0,1.0,2.0,1.0,0.0,1153195.0,0.0,2.0,86.0,0.55,152.7777777777778
user0449,0,0,1,0.09,,0.67,0.45,0.93,0.89,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0458,0,0,1,0.45,,0.58,0.8,0.8,0.83,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0446,1,0,1,0.18,0.36,0.58,0.55,0.73,0.94,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.18,100.0
user0399,1,0,1,0.18,0.36,0.5,0.7,0.53,0.94,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.18,100.0
user0428,1,0,0,0.0,0.55,0.5,0.4,0.53,0.78,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.55,0.0
user0391,0,0,1,0.09,,0.58,0.5,0.67,0.61,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0407,1,0,1,0.45,,0.83,0.55,0.8,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,,
user0444,0,0,1,0.27,,0.58,0.5,0.6,0.67,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0460,1,0,1,0.09,,0.5,0.2,0.67,0.72,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,,
user0419,1,0,1,0.27,0.36,0.5,0.5,0.87,0.72,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.08999999999999997,33.33333333333332
user0440,1,0,1,0.18,0.27,0.58,0.25,0.67,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.09000000000000002,50.000000000000014
user0454,1,0,1,0.09,0.27,0.33,0.25,0.53,0.44,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.18000000000000002,200.00000000000006
user0453,1,0,1,0.09,0.82,0.5,0.15,0.53,0.67,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.73,811.1111111111111
user0457,1,0,1,0.27,0.91,0.5,0.5,0.53,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.64,237.037037037037
user0393,0,0,1,,,0.58,0.6,0.8,0.83,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0410,1,0,1,0.55,,0.67,0.85,0.67,0.83,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,
user0412,1,0,1,0.36,,0.5,0.95,0.73,0.94,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,,
user0427,1,0,0,0.09,,0.67,0.3,1,0.94,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,,
user0447,0,0,1,0.27,,0.67,0.55,0.87,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0462,1,0, ,,0.82, , , , , ,5430345955.0,760.0,15991.0,760.0,428876125.0,5001469830.0,4823.0,11168.0,60.0,,0.0
user0463,1,0, ,,1.0, , , , , ,2456842797.0,346.0,2834.0,346.0,170436009.0,2286406788.0,849.0,1985.0,97.0,,0.0
user0392,1,0,1,0.55,0.55,0.5,0.6,0.87,0.61,0.17,5555451738.0,809.0,8467.0,809.0,347884074.0,5207567664.0,2547.0,5920.0,98.0,0.0,0.0
user0434,1,0,1,0.55,0.55,0.58,0.1,0.8,0.5,0.61,1584267027.0,242.0,1171.0,242.0,51981539.0,1532285488.0,283.0,888.0,82.0,0.0,0.0
user0380,1,0,1,0.18,0.91,0.58,0.6,1,0.67,0.5,5549461853.0,838.0,12648.0,838.0,350261334.0,5199200519.0,4364.0,8284.0,95.0,0.73,405.55555555555554
user0385,1,0,0,0.09,0.55,0.58,0.15,0.47,0.67,0.44,42685632.0,6.0,350.0,6.0,42685632.0,0.0,350.0,0.0,51.0,0.4600000000000001,511.11111111111126
user0408,1,0,1,0.09,0.91,0.67,0.5,0.67,0.56,0.5,1698639240.0,261.0,1632.0,261.0,84576265.0,1614062975.0,384.0,1248.0,92.0,0.8200000000000001,911.1111111111112
user0435,1,0,0,0.09,1.0,0.5,0.4,0.53,0.61,0.5,4778056101.0,635.0,7157.0,635.0,294838665.0,4483217436.0,2253.0,4904.0,90.0,0.91,1011.1111111111112
user0436,1,0,1,0.36,0.82,0.33,0.3,0.47,0.28,0.17,5312343691.0,746.0,6236.0,746.0,319979529.0,4992364162.0,2553.0,3683.0,82.0,0.45999999999999996,127.77777777777777
user0448,1,0,0,0.0,0.64,0,0.3,0.4,0.56,0.28,6328868989.0,826.0,14808.0,826.0,487980908.0,5840888081.0,5644.0,9164.0,72.0,0.64,0.0
user0451,1,0,1,0.09,0.45,0.25,0.1,0.6,0.33,0.28,728001904.0,104.0,3331.0,104.0,426745557.0,301256347.0,2360.0,971.0,72.0,0.36,400.0
user0426,1,0,1,0.18,0.91,0.33,0.35,0.53,0.78,0.44,447021480.0,86.0,398.0,86.0,41581344.0,405440136.0,176.0,222.0,49.0,0.73,405.55555555555554
user0445,1,0,1,0.18,0.91,0.58,0.4,0.6,0.89,0,7071259299.0,1048.0,9203.0,1048.0,647238913.0,6424020386.0,3535.0,5668.0,64.0,0.73,405.55555555555554
user0438,1,0,1,0.09,0.18,0.58,0.55,0.6,0.67,0.83,7177075.0,1.0,468.0,1.0,7177075.0,0.0,468.0,0.0,64.0,0.09,100.0
user0401,1,0,1,0.09,0.64,0.33,0.3,0.6,0.72,0.78,791705463.0,119.0,1006.0,119.0,72514393.0,719191070.0,426.0,580.0,81.0,0.55,611.1111111111112
user0413,0,0,1,0.09,,0.67,0.45,1,1,1,3161263638.0,563.0,3039.0,563.0,158468000.0,3002795638.0,1352.0,1687.0,0.0,,
user0402,1,0,1,0.18,0.45,0.83,0.95,1,0.78,0.83,1492032831.0,229.0,1154.0,229.0,78180955.0,1413851876.0,360.0,794.0,94.0,0.27,150.00000000000003
user0441,1,0,1,0.45,1.0,0.5,0.1,0.67,0.78,0.67,348637695.0,86.0,530.0,86.0,31216711.0,317420984.0,326.0,204.0,73.0,0.55,122.22222222222223
user0443,1,0,1,0.18,0.55,0.5,0.15,0.8,0.78,0.67,1781112701.0,249.0,4410.0,249.0,322619962.0,1458492739.0,2109.0,2301.0,82.0,0.37000000000000005,205.55555555555557
user0406,1,0,1,0.73,0.91,0.58,0.35,0.67,0.89,1,593764607.0,140.0,556.0,140.0,50890339.0,542874268.0,227.0,329.0,76.0,0.18000000000000005,24.65753424657535
user0409,1,0,1,0.18,0.36,0.67,0.25,0.53,0.83,0.72,7208482.0,1.0,28.0,1.0,7208482.0,0.0,28.0,0.0,87.0,0.18,100.0
user0461,1,0, ,0.82,0.82, , , , , ,2601224739.0,652.0,5000.0,652.0,148884186.0,2452340553.0,1656.0,3344.0,88.0,0.0,0.0
user0416,1,0,1,0.18,,0.33,0.2,0.6,0.61,0.56,1453258944.0,287.0,3220.0,287.0,138389618.0,1314869326.0,1134.0,2086.0,83.0,,
user0455,0,0,1,0.0,,0.67,0,1,0.61,0,222062098.0,111.0,1205.0,111.0,22001494.0,200060604.0,573.0,632.0,0.0,,0.0
user0415,1,0,1,0.09,0.0,0.58,0.35,0.73,0.67,0.61,1423575909.0,731.0,8759.0,731.0,86830829.0,1336745080.0,2058.0,6701.0,98.0,-0.09,-100.0
user0442,1,0,1,0.64,0.73,0.58,0.75,0.6,0.67,0.17,204498080.0,206.0,9198.0,206.0,18942502.0,185555578.0,2103.0,7095.0,91.0,0.08999999999999997,14.062499999999995
user0450,1,0,1,0.09,0.18,0.17,0.45,0.33,0.44,0.39,1132517189.0,238.0,3727.0,238.0,183795330.0,948721859.0,1725.0,2002.0,77.0,0.09,100.0
user0381,1,0,1,0.18,,0.5,0.3,0.47,0.44,0.56,1660324530.0,330.0,2484.0,330.0,141536568.0,1518787962.0,1102.0,1382.0,92.0,,
user0396,1,0,1,0.18,0.82,0.67,0.5,0.73,0.67,0.5,277104127.0,409.0,3699.0,409.0,20957206.0,256146921.0,874.0,2825.0,93.0,0.6399999999999999,355.55555555555554
user0397,1,0,0,0.18,0.82,0.25,0.55,0.6,0.67,0.61,212667364.0,140.0,2471.0,140.0,109112759.0,103554605.0,1888.0,583.0,81.0,0.6399999999999999,355.55555555555554
user0403,1,0,0,0.18,0.73,0.58,0.4,0.67,0.67,0.39,696428049.0,501.0,3173.0,501.0,40267157.0,656160892.0,1164.0,2009.0,91.0,0.55,305.5555555555556
user0411,1,0,1,0.09,0.64,0.5,0.5,0.67,0.5,0.33,42748178.0,26.0,224.0,26.0,9865517.0,32882661.0,158.0,66.0,97.0,0.55,611.1111111111112
user0423,1,0,0,0.36,0.64,0.83,0.85,0.73,0.72,0.56,25402820.0,14.0,240.0,14.0,7257398.0,18145422.0,145.0,95.0,94.0,0.28,77.77777777777779
user0452,1,0,1,0.09,0.82,0.67,0.5,0.53,0.67,0.39,60023093.0,51.0,2120.0,51.0,5756296.0,54266797.0,433.0,1687.0,76.0,0.73,811.1111111111111
user0395,1,0,1,0.27,,0.67,0.65,0.87,0.78,0.17,1040140641.0,243.0,1448.0,243.0,103681735.0,936458906.0,494.0,954.0,91.0,,
user0417,1,0,0,0.18,0.91,0.67,0.9,0.6,1,0.39,503875573.0,416.0,3169.0,416.0,12339878.0,491535695.0,615.0,2554.0,89.0,0.73,405.55555555555554
user0394,1,0,0,0.18,0.64,0.5,0.4,0.67,0.67,0.78,340693916.0,338.0,2563.0,338.0,25804425.0,314889491.0,943.0,1620.0,91.0,0.46,255.55555555555557
user0387,1,0,1,0.27,0.82,0.5,0.35,0.6,0.72,0.72,2025050288.0,639.0,7559.0,639.0,132881636.0,1892168652.0,2393.0,5166.0,98.0,0.5499999999999999,203.70370370370367
user0404,1,0,1,0.09,0.73,0.5,0.4,0.67,0.67,0.83,6771127.0,3.0,18.0,3.0,0.0,6771127.0,0.0,18.0,89.0,0.64,711.1111111111112
user0390,1,0,1,1.0,,1,0.8,1,0.89,0.72,19547043.0,85.0,1626.0,85.0,2991169.0,16555874.0,824.0,802.0,90.0,,
user0432,0,0,1,0.18,,0.58,0.65,0.73,0.83,0.94,256423474.0,87.0,1002.0,87.0,53046136.0,203377338.0,368.0,634.0,0.0,,
user0400,1,0,1,0.18,0.82,0.42,0.75,1,0.89,0.78,249385114.0,74.0,527.0,74.0,7752203.0,241632911.0,254.0,273.0,64.0,0.6399999999999999,355.55555555555554
user0379,1,0,1,0.45,1.0,0.75,0.9,1,0.89,0.83,46755725.0,106.0,699.0,106.0,2642705.0,44113020.0,314.0,385.0,98.0,0.55,122.22222222222223
user0383,1,0,1,0.18,0.45,0.67,0.6,0.6,0.78,0.83,54743038.0,99.0,745.0,99.0,2685009.0,52058029.0,149.0,596.0,45.0,0.27,150.00000000000003
user0389,1,0,1,0.36,0.73,0.75,0.8,1,0.78,0.83,263689878.0,87.0,639.0,87.0,18180387.0,245509491.0,184.0,455.0,94.0,0.37,102.77777777777779
user0420,1,0,0,0.18,0.82,0.5,0.85,0.67,0.94,1,1477462806.0,562.0,6571.0,562.0,146045746.0,1331417060.0,2986.0,3585.0,94.0,0.6399999999999999,355.55555555555554
user0582,0,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0587,0,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0590,1,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,,0.0
user0507,1,1,0,0.09,,0.58,0.45,0.6,0.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,
user0514,1,1,1,0.27,,0.67,0.55,0.4,0.5,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,
user0536,1,1,1,0.0,,0.58,0.15,0.67,0.72,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,,0.0
user0562,0,1,1,0.09,,0.42,0.45,0.6,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0565,0,1,0,0.27,,0.75,0.35,0.67,0.72,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0568,0,1,1,0.0,,0.5,0,0.33,0.61,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0585,0,1,1,0.09,,0.33,0.4,0.53,0.56,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0526,1,1,1,0.09,0.64,0.33,0.6,0.27,0.28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.55,611.1111111111112
user0529,1,1,1,0.09,0.0,0.58,0.35,0.6,0.72,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,-0.09,-100.0
user0532,1,1,1,0.18,0.18,0.33,0.25,0.47,0.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0
user0541,1,1,1,0.18,0.73,0.25,0.5,0.67,0.39,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.55,305.5555555555556
user0543,1,1,1,0.09,0.27,0.33,0.25,0.33,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.18000000000000002,200.00000000000006
user0523,1,1,1,0.45,0.73,0.75,0.75,0.73,0.72,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.27999999999999997,62.222222222222214
user0528,1,1,1,0.0,0.73,0.5,0.25,0.67,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.73,0.0
user0567,1,1,1,0.18,0.36,0.33,0.5,0.6,0.61,0.44,2387601611.0,328.0,1163.0,328.0,0.0,2387601611.0,0.0,1163.0,29.0,0.18,100.0
user0570,1,1,1,0.18,0.55,0.42,0.45,0.6,0.67,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.37000000000000005,205.55555555555557
user0580,1,1,0,0.18,0.36,0.33,0.25,0.67,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.18,100.0
user0572,1,1,0,0.0,,0.58,0.6,0.87,0.83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0577,0,1,0,0.64,,0.5,0.6,0.73,0.78,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0579,0,1,0,0.18,,0.67,0.1,1,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0506,1,1,1,0.73,,0.67,0.45,0.67,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,,
user0537,1,1,1,0.09,,0.42,0.1,0.87,0.56,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,,
user0558,0,1,1,0.0,,0.5,0.45,0.6,0.44,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0559,0,1,0,0.09,,0.5,0.5,0.8,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0569,0,1,1,0.45,,0.58,0.5,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0505,1,1,1,0.09,0.45,0.58,0.5,0.8,0.44,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.36,400.0
user0557,1,1,1,0.09,0.64,0.58,0.5,0.73,0.61,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.55,611.1111111111112
user0503,0,1,1,0.36,,0.83,1,0.93,0.94,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0519,0,1,1,0.18,,0.67,0.55,1,0.83,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0552,0,1,1,0.09,,0.58,0.7,0.73,0.89,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0544,1,1,1,0.09,0.18,0.58,0.3,0.67,0.83,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.09,100.0
user0513,1,1,1,0.0,0.73,0.83,0.55,0.8,0.89,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.73,0.0
user0549,1,1,1,0.09,0.27,0.58,0.5,0.67,0.78,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.18000000000000002,200.00000000000006
user0571,1,1,0,0.18,0.45,0.42,0.3,0.53,0.78,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.27,150.00000000000003
user0535,1,1, ,,0.45, , , , , ,1371669991.0,198.0,3924.0,198.0,158704610.0,1212965381.0,2238.0,1686.0,70.0,,0.0
user0533,1,1,0,0.09,,0.58,0.5,0.6,0.72,0.61,4162176928.0,586.0,10787.0,586.0,541355916.0,3620821012.0,4530.0,6257.0,82.0,,
user0554,1,1,1,0.27,,0.5,0.7,0.6,0.61,0.5,366080061.0,51.0,5014.0,51.0,366080061.0,0.0,5014.0,0.0,85.0,,
user0531,1,1,1,0.09,0.27,0.58,0.4,0.8,0.5,0.5,333774542.0,48.0,662.0,48.0,41718998.0,292055544.0,128.0,534.0,83.0,0.18000000000000002,200.00000000000006
user0538,1,1,1,0.36,0.09,0.67,0.7,1,0.5,0.5,84457594.0,12.0,410.0,12.0,84457594.0,0.0,410.0,0.0,52.0,-0.27,-75.00000000000001
user0563,1,1,1,0.0,0.73,0.5,0.35,0.6,0.33,0.61,1255429974.0,181.0,9026.0,181.0,396175667.0,859254307.0,4352.0,4674.0,92.0,0.73,0.0
user0566,1,1,1,0.18,0.55,0.42,0.45,0.53,0.39,0.56,769846758.0,117.0,897.0,117.0,59216602.0,710630156.0,381.0,516.0,95.0,0.37000000000000005,205.55555555555557
user0578,1,1,0,0.18,0.82,0.42,0.55,0.4,0.61,0.61,5279166344.0,821.0,14736.0,821.0,378032510.0,4901133834.0,4323.0,10413.0,95.0,0.6399999999999999,355.55555555555554
user0530,1,1,0,0.0,,0.5,0.4,0.8,0.44,0.5,1090363947.0,168.0,1946.0,168.0,149276926.0,941087021.0,1067.0,879.0,75.0,,0.0
user0560,1,1,0,0.0,0.27,0.25,0.3,0.2,0.5,0.5,1237728561.0,186.0,7822.0,186.0,242873786.0,994854775.0,4008.0,3814.0,57.0,0.27,0.0
user0510,1,1,0,0.18,,0.75,0.65,0.93,0.94,0.44,781335480.0,110.0,1525.0,110.0,63925171.0,717410309.0,638.0,887.0,90.0,,
user0574,1,1,1,0.0,,0.67,0.85,1,0.83,0.5,676976756.0,118.0,1338.0,118.0,109329623.0,567647133.0,592.0,746.0,80.0,,0.0
user0553,1,1,0,0.18,0.73,0.58,0.9,0.73,0.83,0.17,1725276096.0,243.0,1936.0,243.0,99392241.0,1625883855.0,715.0,1221.0,94.0,0.55,305.5555555555556
user0583,1,1,1,0.36,0.82,0.5,0.75,0.47,0.22,0.67,709288531.0,99.0,656.0,99.0,64221917.0,645066614.0,308.0,348.0,85.0,0.45999999999999996,127.77777777777777
user0561,1,1,1,0.82,0.73,0.58,0.55,0.53,0.61,0.67,320944730.0,44.0,591.0,44.0,102114274.0,218830456.0,373.0,218.0,70.0,-0.08999999999999997,-10.975609756097558
user0512,1,1,0,0.0,0.73,0.5,0.25,0.6,0.67,0.67,2789523081.0,643.0,7718.0,643.0,238221097.0,2551301984.0,3446.0,4272.0,96.0,0.73,0.0
user0524,1,1,1,0.18,,0.58,0.65,0.73,0.72,0.67,564769902.0,105.0,1056.0,105.0,37647896.0,527122006.0,165.0,891.0,61.0,,
user0539,1,1,1,0.27,0.82,0.58,0.6,0.67,0.67,0.67,2034210078.0,290.0,1848.0,290.0,182391380.0,1851818698.0,781.0,1067.0,100.0,0.5499999999999999,203.70370370370367
user0547,1,1,1,0.18,0.91,0.58,0.45,0.6,0.67,0.67,515723690.0,99.0,638.0,99.0,46882518.0,468841172.0,238.0,400.0,97.0,0.73,405.55555555555554
user0573,1,1,0,0.0,0.55,0.58,0.5,0.67,0.67,0.67,722455189.0,104.0,893.0,104.0,48619490.0,673835699.0,207.0,686.0,90.0,0.55,0.0
user0511,1,1,0,0.18,0.82,0.75,0.1,0.6,0.78,0.72,690008320.0,97.0,2912.0,97.0,177819678.0,512188642.0,1203.0,1709.0,85.0,0.6399999999999999,355.55555555555554
user0517,1,1,1,0.18,0.64,0.17,0.55,0.47,0.83,0.83,4745682419.0,771.0,5741.0,771.0,375397705.0,4370284714.0,2217.0,3524.0,89.0,0.46,255.55555555555557
user0548,1,1,0,0.0,0.09,0.75,0.5,1,0.78,0.67,596440606.0,108.0,677.0,108.0,82838914.0,513601692.0,373.0,304.0,60.0,0.09,0.0
user0581,1,1,1,0.82,0.91,0.75,0.95,0.87,0.83,0.72,22562679.0,3.0,63.0,3.0,22562679.0,0.0,63.0,0.0,95.0,0.09000000000000008,10.97560975609757
user0545,0,1, ,0.55,, , , , , ,5685935.0,2.0,91.0,2.0,5685935.0,0.0,91.0,0.0,0.0,,
user0586,0,1, ,,, , , , , ,342055137.0,208.0,1416.0,208.0,42747613.0,299307524.0,708.0,708.0,0.0,,0.0
user0508,1,1, ,0.09,0.09, , , , , ,3887376.0,3.0,74.0,3.0,3887376.0,0.0,74.0,0.0,76.0,0.0,0.0
user0527,1,1,0,0.18,0.36,0.42,0.25,0.6,0.67,0.17,593607329.0,252.0,3648.0,252.0,25817458.0,567789871.0,1035.0,2613.0,93.0,0.18,100.0
user0564,1,1,1,0.09,0.0,0.42,0.55,0.67,0.39,0.5,470062063.0,322.0,3189.0,322.0,72108362.0,397953701.0,1421.0,1768.0,95.0,-0.09,-100.0
user0575,1,1,1,0.09,0.27,0.42,0.6,0.47,0.67,0.5,674669316.0,184.0,1118.0,184.0,29291224.0,645378092.0,483.0,635.0,87.0,0.18000000000000002,200.00000000000006
user0576,1,1,0,0.27,0.36,0.17,0.15,0.33,0.33,0.06,648206230.0,125.0,858.0,125.0,58044769.0,590161461.0,369.0,489.0,60.0,0.08999999999999997,33.33333333333332
user0504,1,1,0,0.18,0.64,0.33,0.5,0.87,0.39,0,18707839.0,109.0,1737.0,109.0,1783835.0,16924004.0,413.0,1324.0,59.0,0.46,255.55555555555557
user0522,1,1,1,0.18,0.55,0.58,0.5,0.6,0.72,0.39,294261779.0,113.0,954.0,113.0,31251445.0,263010334.0,547.0,407.0,92.0,0.37000000000000005,205.55555555555557
user0555,1,1,1,0.27,0.82,0.58,0.5,0.6,0.61,0.44,1835194.0,3.0,132.0,3.0,1835194.0,0.0,132.0,0.0,87.0,0.5499999999999999,203.70370370370367
user0534,1,1,0,0.09,0.73,0.58,0,0.87,0.83,0.44,1188644668.0,706.0,10054.0,706.0,162624503.0,1026020165.0,3710.0,6344.0,87.0,0.64,711.1111111111112
user0551,1,1,1,0.73,,0.58,0.65,0.47,0.78,0.33,257150249.0,464.0,6312.0,464.0,18311444.0,238838805.0,1374.0,4938.0,92.0,,
user0509,1,1,0,0.09,0.82,0.58,0.3,0.6,0.78,0.17,1354164357.0,194.0,4216.0,194.0,83262917.0,1270901440.0,1538.0,2678.0,60.0,0.73,811.1111111111111
user0584,1,1,1,0.36,0.82,0.58,0.6,0.6,0.67,0.83,537334648.0,367.0,4363.0,367.0,56475535.0,480859113.0,1578.0,2785.0,94.0,0.45999999999999996,127.77777777777777
user0525,1,1,1,0.73,0.91,0.67,0.45,0.73,0.67,0.67,653942963.0,239.0,1004.0,239.0,26622783.0,627320180.0,247.0,757.0,94.0,0.18000000000000005,24.65753424657535
user0540,1,1,1,0.0,0.91,0.75,0.7,1,0.67,0.67,153600689.0,74.0,2110.0,74.0,43460556.0,110140133.0,1530.0,580.0,90.0,0.91,0.0
user0550,1,1,1,0.91,0.64,0.83,0.7,1,0.67,0.89,3931665152.0,857.0,4507.0,857.0,213410864.0,3718254288.0,1566.0,2941.0,98.0,-0.27,-29.67032967032967
user0546,1,1,1,0.55,,0.75,0.7,0.87,0.83,0.94,59764641.0,165.0,1226.0,165.0,7239328.0,52525313.0,456.0,770.0,83.0,,
user0516,1,1,1,0.18,0.82,1,0.8,1,0.94,0.67,196421651.0,208.0,962.0,208.0,14474411.0,181947240.0,244.0,718.0,88.0,0.6399999999999999,355.55555555555554
user0518,1,1,0,0.45,0.91,0.83,0.9,0.93,0.83,0.67,1714299405.0,677.0,8446.0,677.0,84721688.0,1629577717.0,1802.0,6644.0,93.0,0.46,102.22222222222221
user0520,1,1,1,0.36,0.82,0.67,0.8,1,0.94,0.72,763328475.0,560.0,8781.0,560.0,66020893.0,697307582.0,3148.0,5633.0,95.0,0.45999999999999996,127.77777777777777
user0515,1,1,1,,1.0,0.75,0.75,0.87,1,0.72,432419170.0,268.0,4239.0,268.0,24420156.0,407999014.0,1139.0,3100.0,91.0,,0.0
user0521,1,1,0,0.55,0.91,0.67,0.55,0.8,0.78,0.67,955931716.0,718.0,13852.0,718.0,53453235.0,902478481.0,2220.0,11632.0,98.0,0.36,65.45454545454544
user0542,1,1,0,0.27,0.82,0.67,0.65,0.87,0.83,0.83,57411361.0,23.0,978.0,23.0,44929684.0,12481677.0,710.0,268.0,89.0,0.5499999999999999,203.70370370370367
user0711,0,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0715,1,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,0.0
user0687,1,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,0.0
user0628,0,1,1,0.0,,0.33,0.1,0.47,0.39,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0639,1,1,1,0.18,,0.58,0.05,0.6,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,
user0655,0,1,1,0.73,,0.67,0.7,0.73,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0656,0,1,1,0.09,,0.58,0,0.6,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0664,0,1,0,0.09,,0.5,0.3,0.6,0.44,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0696,1,1,1,0.09,,0.5,0.15,0.4,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,
user0704,1,1,1,0.27,,0.42,0.65,0.73,0.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,
user0709,1,1,1,0.36,,0.67,0.65,0.73,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,
user0633,1,1,1,0.18,0.64,0.58,0.5,0.67,0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.46,255.55555555555557
