student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0152,1,0,0,0.27,0.91,0.5,0.5,0.8,0.78,0.67,585025452.0,232.0,3180.0,232.0,54822777.0,530202675.0,513.0,2667.0,97.0,0.64,237.037037037037
user0160,1,0,1,0.27,0.36,0.58,0.6,0.6,0.83,0.83,2001656811.0,455.0,2441.0,455.0,173096966.0,1828559845.0,928.0,1513.0,95.0,0.08999999999999997,33.33333333333332
user0164,1,0,1,0.18,0.73,0.5,0.35,0.6,1,0.94,1275834471.0,662.0,6827.0,662.0,5950160.0,1269884311.0,280.0,6547.0,99.0,0.55,305.5555555555556
user0167,1,0,0,1.0,0.73,0.75,0.75,0.67,0.78,0.67,2734733406.0,731.0,4953.0,731.0,206523138.0,2528210268.0,2074.0,2879.0,99.0,-0.27,-27.0
user0170,1,0,1,0.82,0.82,1,0.9,1,0.94,0.67,45418624.0,173.0,1281.0,173.0,1571726.0,43846898.0,114.0,1167.0,97.0,0.0,0.0
user0173,1,0,1,0.18,1.0,0.42,0.55,0.6,0.78,0.72,623113776.0,164.0,1213.0,164.0,25210259.0,597903517.0,274.0,939.0,65.0,0.8200000000000001,455.5555555555556
user0176,1,0,1,0.64,,0.58,0.7,0.93,0.78,0.67,1440191225.0,644.0,3438.0,644.0,103429576.0,1336761649.0,1225.0,2213.0,76.0,,
user0332,0,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0336,0,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0339,0,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0260,1,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,0.0
user0318,1,0, ,0.09,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,,
user0340,1,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,,0.0
user0341, ,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0287,1,0,1,0.09,,0.75,0.15,0.87,0.67,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,,
user0288,0,0,1,0.09,,0.5,0.45,0.67,0.67,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0296,0,0,1,0.18,,0.58,0.4,0.6,0.61,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0303,0,0,1,0.0,,0,0.1,0.53,0.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0317,0,0,1,0.45,,0.67,0.5,0.67,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0329,0,0,1,0.18,,0.58,0.5,0.8,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0263,1,0,1,0.09,0.09,0.67,0.55,0.53,0.56,0.61,185012412.0,26.0,81.0,26.0,0.0,185012412.0,0.0,81.0,50.0,0.0,0.0
user0311,1,0,1,0.18,0.73,0.58,0.5,0.73,0.72,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.55,305.5555555555556
user0312,1,0,1,0.09,0.82,0.33,0.5,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.73,811.1111111111111
